user_id,username,platform,age,gender,country,followers,following,posts,likes_received,comments_received,shares_received,avg_engagement_rate,account_created,last_active,is_verified,content_type,posting_frequency,peak_activity_hour,interests
1,user_alex01,Instagram,24,Male,USA,15420,892,342,89450,4521,2341,5.8,2019-03-15,2024-01-28,False,Photo,Daily,18,Fashion|Travel|Food
2,user_maria22,Instagram,28,Female,Brazil,45230,1205,567,234500,12340,8920,5.6,2018-06-22,2024-01-29,True,Photo,Daily,20,Beauty|Lifestyle|Fitness
3,tech_guru99,Twitter,35,Male,UK,89450,4521,1234,456000,23400,45600,5.9,2017-01-10,2024-01-29,True,Text,Multiple Daily,14,Technology|AI|Startups
4,fitness_jane,Instagram,31,Female,Canada,23400,567,234,123400,6780,3450,5.7,2020-02-14,2024-01-28,False,Video,Daily,7,Fitness|Health|Nutrition
5,foodie_mike,TikTok,22,Male,USA,156000,234,456,890000,45600,78900,5.8,2021-05-20,2024-01-29,True,Video,Multiple Daily,19,Food|Cooking|Restaurants
6,travel_sara,Instagram,29,Female,Australia,67800,1890,678,345000,18900,12300,5.5,2018-09-08,2024-01-27,True,Photo,Weekly,16,Travel|Photography|Adventure
7,gaming_pro,YouTube,26,Male,Germany,234000,123,89,1230000,67800,89000,5.4,2016-11-30,2024-01-29,True,Video,Weekly,21,Gaming|Esports|Technology
8,art_lisa,Instagram,33,Female,France,12300,2340,890,67800,3450,1890,5.9,2019-07-12,2024-01-28,False,Photo,Daily,15,Art|Design|Creativity
9,music_dave,TikTok,21,Male,USA,89000,456,234,456000,23400,34500,5.8,2022-01-05,2024-01-29,False,Video,Multiple Daily,22,Music|Entertainment|Dance
10,business_emma,LinkedIn,38,Female,UK,45600,3450,123,89000,4560,2340,2.1,2015-04-18,2024-01-29,True,Text,Weekly,9,Business|Leadership|Marketing
11,photo_chris,Instagram,27,Male,Spain,34500,1234,456,178000,8900,5600,5.3,2019-11-22,2024-01-28,False,Photo,Daily,17,Photography|Nature|Wildlife
12,lifestyle_amy,Instagram,25,Female,USA,78900,2100,678,389000,19800,14500,5.5,2020-03-30,2024-01-29,True,Photo,Daily,19,Lifestyle|Fashion|Home
13,code_ninja,Twitter,32,Male,India,56700,890,567,234000,12300,18900,4.7,2017-08-14,2024-01-29,False,Text,Daily,11,Programming|OpenSource|Tech
14,wellness_kate,Instagram,30,Female,Canada,23400,1567,345,112000,5600,3200,5.2,2020-06-10,2024-01-28,False,Photo,Daily,8,Wellness|Meditation|Yoga
15,comic_stan,Twitter,29,Male,USA,123000,678,890,567000,34500,45600,5.3,2016-02-28,2024-01-29,True,Text,Multiple Daily,13,Comedy|Entertainment|Memes
